problem,submission_id,location,type
gigel-si-raspandirea-vestilor,1408569325,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\cpp\1408569325.cpp,source_file
gigel-si-raspandirea-vestilor,1378155090,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1378155090.cpp,source_file
gigel-si-raspandirea-vestilor,1378155090,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\cpp\1378155090.cpp,source_file
gigel-si-raspandirea-vestilor,1314237354,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1314237354.java,source_file
gigel-si-raspandirea-vestilor,1314237354,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\java\1314237354.java,source_file
gigel-si-raspandirea-vestilor,1323417811,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1323417811.cpp,source_file
gigel-si-raspandirea-vestilor,1323417811,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\cpp\1323417811.cpp,source_file
gigel-si-raspandirea-vestilor,1314237607,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1314237607.cpp,source_file
gigel-si-raspandirea-vestilor,1314237607,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\cpp\1314237607.cpp,source_file
gigel-si-raspandirea-vestilor,1314237572,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1314237572.java,source_file
gigel-si-raspandirea-vestilor,1314237572,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\java\1314237572.java,source_file
gigel-si-raspandirea-vestilor,1314236380,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1314236380.cpp,source_file
gigel-si-raspandirea-vestilor,1314236380,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\cpp\1314236380.cpp,source_file
gigel-si-raspandirea-vestilor,1314237267,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1314237267.cpp,source_file
gigel-si-raspandirea-vestilor,1314237267,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\cpp\1314237267.cpp,source_file
gigel-si-raspandirea-vestilor,1314236404,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1314236404.cpp,source_file
gigel-si-raspandirea-vestilor,1314236404,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\cpp\1314236404.cpp,source_file
gigel-si-raspandirea-vestilor,1314237558,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1314237558.java,source_file
gigel-si-raspandirea-vestilor,1314237558,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\java\1314237558.java,source_file
gigel-si-raspandirea-vestilor,1314237013,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1314237013.java,source_file
gigel-si-raspandirea-vestilor,1314237013,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\java\1314237013.java,source_file
gigel-si-raspandirea-vestilor,1314239651,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1314239651.java,source_file
gigel-si-raspandirea-vestilor,1314239651,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\java\1314239651.java,source_file
gigel-si-raspandirea-vestilor,1314234653,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1314234653.java,source_file
gigel-si-raspandirea-vestilor,1314234653,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\java\1314234653.java,source_file
gigel-si-raspandirea-vestilor,1333804494,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1333804494.cpp,source_file
