file,user_id,attempt_number,submission_id,language,original_language,result,score,timestamp,code_length,code_lines,uses_sort,uses_hash,source_path
1314236989.cpp,user_0215,19,1314236989,cpp,cpp,Wrong Answer,1.04,140,1250,58,False,True,gigel-si-sosetele/submissions/1314236989.cpp
1314237010.cpp,user_0215,20,1314237010,cpp,cpp,Wrong Answer,5.21,141,1250,58,False,True,gigel-si-sosetele/submissions/1314237010.cpp
1314237375.cpp,user_0215,35,1314237375,cpp,cpp,Wrong Answer,5.21,161,1297,60,False,True,gigel-si-sosetele/submissions/1314237375.cpp
1314237463.cpp,user_0215,40,1314237463,cpp,cpp,Wrong Answer,1.04,165,1431,62,False,True,gigel-si-sosetele/submissions/1314237463.cpp
1314237693.cpp,user_0215,49,1314237693,cpp,cpp,Wrong Answer,8.33,176,1195,59,False,True,gigel-si-sosetele/submissions/1314237693.cpp
1314237713.cpp,user_0215,50,1314237713,cpp,cpp,Wrong Answer,5.21,177,1208,59,False,True,gigel-si-sosetele/submissions/1314237713.cpp
1314236660.cpp,user_0219,1,1314236660,cpp,cpp,Wrong Answer,12.5,120,1678,84,True,False,gigel-si-sosetele/submissions/1314236660.cpp
1314237169.cpp,user_0219,2,1314237169,cpp,cpp,Wrong Answer,11.46,150,1898,94,True,False,gigel-si-sosetele/submissions/1314237169.cpp
1314237395.cpp,user_0219,3,1314237395,cpp,cpp,Wrong Answer,11.46,161,1967,94,True,False,gigel-si-sosetele/submissions/1314237395.cpp
1314237413.cpp,user_0219,4,1314237413,cpp,cpp,Wrong Answer,12.5,162,1970,94,True,False,gigel-si-sosetele/submissions/1314237413.cpp
1361720320.java,user_0220,1,1361720320,java,java8,Accepted,50.0,2122489,2552,102,False,True,gigel-si-sosetele/submissions/1361720320.java
1391926624.cpp,user_0222,1,1391926624,cpp,cpp,Segmentation Fault,3.13,3147801,2314,99,True,False,gigel-si-sosetele/submissions/1391926624.cpp
1391926940.cpp,user_0222,3,1391926940,cpp,cpp,Abort Called,3.13,3147806,2110,84,True,False,gigel-si-sosetele/submissions/1391926940.cpp
1391927106.cpp,user_0222,5,1391927106,cpp,cpp,Abort Called,3.13,3147809,2226,89,True,False,gigel-si-sosetele/submissions/1391927106.cpp
1391927314.cpp,user_0222,6,1391927314,cpp,cpp,Segmentation Fault,3.13,3147812,2370,102,True,False,gigel-si-sosetele/submissions/1391927314.cpp
1391927276.cpp,user_0222,7,1391927276,cpp,cpp,Segmentation Fault,3.13,3147812,2350,100,True,False,gigel-si-sosetele/submissions/1391927276.cpp
1391927371.cpp,user_0222,8,1391927371,cpp,cpp,Segmentation Fault,2.08,3147813,2362,102,True,False,gigel-si-sosetele/submissions/1391927371.cpp
1391927542.cpp,user_0222,9,1391927542,cpp,cpp,Abort Called,3.13,3147817,2161,87,True,False,gigel-si-sosetele/submissions/1391927542.cpp
1391927653.cpp,user_0222,10,1391927653,cpp,cpp,Abort Called,3.13,3147819,2139,87,True,False,gigel-si-sosetele/submissions/1391927653.cpp
1391927824.cpp,user_0222,11,1391927824,cpp,cpp,Abort Called,3.13,3147822,2038,75,True,False,gigel-si-sosetele/submissions/1391927824.cpp
1323450365.cpp,user_0224,1,1323450365,cpp,cpp,Wrong Answer,48.96,522958,1172,52,False,True,gigel-si-sosetele/submissions/1323450365.cpp
1323450418.cpp,user_0224,2,1323450418,cpp,cpp,Accepted,50.0,522961,1268,57,False,True,gigel-si-sosetele/submissions/1323450418.cpp
1314236639.java,user_0227,6,1314236639,java,java,Wrong Answer,5.21,119,2378,90,True,False,gigel-si-sosetele/submissions/1314236639.java
1314236960.java,user_0227,7,1314236960,java,java,Terminated due ...,5.21,139,2642,99,True,False,gigel-si-sosetele/submissions/1314236960.java
1314237028.java,user_0227,8,1314237028,java,java,Terminated due ...,5.21,143,2791,102,True,False,gigel-si-sosetele/submissions/1314237028.java
1314237097.java,user_0227,9,1314237097,java,java,Terminated due ...,5.21,146,2802,102,True,False,gigel-si-sosetele/submissions/1314237097.java
1314237838.java,user_0229,4,1314237838,java,java8,Wrong Answer,12.5,181,4480,147,True,True,gigel-si-sosetele/submissions/1314237838.java
1361903381.cpp,user_0230,1,1361903381,cpp,cpp,Accepted,50.0,2130182,633,32,False,True,gigel-si-sosetele/submissions/1361903381.cpp
1314237004.java,user_0234,1,1314237004,java,java8,Wrong Answer,8.33,141,2003,78,False,True,gigel-si-sosetele/submissions/1314237004.java
1314237476.java,user_0234,3,1314237476,java,java8,Runtime Error,5.21,166,2494,96,False,True,gigel-si-sosetele/submissions/1314237476.java
1314237655.java,user_0234,4,1314237655,java,java8,Wrong Answer,8.33,174,2682,103,False,True,gigel-si-sosetele/submissions/1314237655.java
1391862748.cpp,user_0235,1,1391862748,cpp,cpp,Wrong Answer,12.5,3145214,904,42,False,True,gigel-si-sosetele/submissions/1391862748.cpp
1391862854.cpp,user_0235,2,1391862854,cpp,cpp,Wrong Answer,13.54,3145221,618,30,False,True,gigel-si-sosetele/submissions/1391862854.cpp
1391862911.cpp,user_0235,3,1391862911,cpp,cpp,Wrong Answer,13.54,3145228,977,45,False,True,gigel-si-sosetele/submissions/1391862911.cpp
1391863014.cpp,user_0235,4,1391863014,cpp,cpp,Wrong Answer,12.5,3145236,1076,51,False,True,gigel-si-sosetele/submissions/1391863014.cpp
1391863046.cpp,user_0235,5,1391863046,cpp,cpp,Wrong Answer,12.5,3145239,1237,58,False,True,gigel-si-sosetele/submissions/1391863046.cpp
1314236111.cpp,user_0237,1,1314236111,cpp,cpp,Segmentation Fault,46.88,84,2231,98,True,False,gigel-si-sosetele/submissions/1314236111.cpp
1323071007.cpp,user_0239,1,1323071007,cpp,cpp,Accepted,50.0,503910,1293,60,True,False,gigel-si-sosetele/submissions/1323071007.cpp
1314241570.java,user_0242,1,1314241570,java,java8,Wrong Answer,1.04,1192,2072,90,True,False,gigel-si-sosetele/submissions/1314241570.java
1361905953.cpp,user_0246,3,1361905953,cpp,cpp14,Accepted,50.0,2130452,675,34,False,True,gigel-si-sosetele/submissions/1361905953.cpp
1314236876.cpp,user_0248,1,1314236876,cpp,cpp,Segmentation Fault,8.33,133,1516,81,True,False,gigel-si-sosetele/submissions/1314236876.cpp
1314237296.cpp,user_0248,2,1314237296,cpp,cpp,Wrong Answer,13.54,157,1661,93,True,False,gigel-si-sosetele/submissions/1314237296.cpp
1314237512.cpp,user_0248,3,1314237512,cpp,cpp,Wrong Answer,13.54,167,1747,97,True,False,gigel-si-sosetele/submissions/1314237512.cpp
1314237702.cpp,user_0248,4,1314237702,cpp,cpp,Wrong Answer,13.54,176,1667,91,True,False,gigel-si-sosetele/submissions/1314237702.cpp
1332760229.java,user_0249,1,1332760229,java,java8,Wrong Answer,39.58,1027088,3890,125,False,True,gigel-si-sosetele/submissions/1332760229.java
1314236852.java,user_0250,3,1314236852,java,java8,Accepted,50.0,132,3038,116,False,True,gigel-si-sosetele/submissions/1314236852.java
1323454076.cpp,user_0251,1,1323454076,cpp,cpp,Wrong Answer,46.88,523144,1445,53,False,True,gigel-si-sosetele/submissions/1323454076.cpp
1323454197.cpp,user_0251,2,1323454197,cpp,cpp,Accepted,50.0,523152,1616,59,False,True,gigel-si-sosetele/submissions/1323454197.cpp
1332463460.cpp,user_0252,1,1332463460,cpp,cpp,Wrong Answer,47.92,1016740,1715,91,True,False,gigel-si-sosetele/submissions/1332463460.cpp
1332463504.cpp,user_0252,2,1332463504,cpp,cpp,Wrong Answer,47.92,1016741,1733,91,True,False,gigel-si-sosetele/submissions/1332463504.cpp
1332463544.cpp,user_0252,3,1332463544,cpp,cpp,Segmentation Fault,48.96,1016742,1770,92,True,False,gigel-si-sosetele/submissions/1332463544.cpp
1332464030.cpp,user_0252,4,1332464030,cpp,cpp,Accepted,50.0,1016755,1665,85,True,False,gigel-si-sosetele/submissions/1332464030.cpp
1361764067.cpp,user_0256,1,1361764067,cpp,cpp,Accepted,50.0,2123973,747,40,False,True,gigel-si-sosetele/submissions/1361764067.cpp
1361734461.cpp,user_0257,1,1361734461,cpp,cpp,Accepted,50.0,2122816,544,32,False,True,gigel-si-sosetele/submissions/1361734461.cpp
1378160221.cpp,user_0262,1,1378160221,cpp,cpp,Wrong Answer,12.5,2640297,1670,72,False,True,gigel-si-sosetele/submissions/1378160221.cpp
1378159687.cpp,user_0263,4,1378159687,cpp,cpp,Accepted,50.0,2640171,1316,55,False,True,gigel-si-sosetele/submissions/1378159687.cpp
1378159750.cpp,user_0263,5,1378159750,cpp,cpp,Accepted,50.0,2640180,1179,50,False,True,gigel-si-sosetele/submissions/1378159750.cpp
1378158403.cpp,user_0267,1,1378158403,cpp,cpp,Wrong Answer,2.08,2640053,806,45,False,True,gigel-si-sosetele/submissions/1378158403.cpp
1378158476.cpp,user_0267,2,1378158476,cpp,cpp,Accepted,50.0,2640056,814,45,False,True,gigel-si-sosetele/submissions/1378158476.cpp
1378144132.cpp,user_0268,5,1378144132,cpp,cpp,Accepted,50.0,2639727,1362,58,False,True,gigel-si-sosetele/submissions/1378144132.cpp
1378159506.cpp,user_0269,1,1378159506,cpp,cpp,Wrong Answer,1.04,2640150,969,48,True,False,gigel-si-sosetele/submissions/1378159506.cpp
1378159512.cpp,user_0269,2,1378159512,cpp,cpp,Wrong Answer,2.08,2640151,937,48,True,False,gigel-si-sosetele/submissions/1378159512.cpp
1378120601.java,user_0271,1,1378120601,java,java8,Accepted,50.0,2638634,2845,117,False,True,gigel-si-sosetele/submissions/1378120601.java
1314236276.java,user_0275,1,1314236276,java,java8,Wrong Answer,1.04,96,2493,105,False,True,gigel-si-sosetele/submissions/1314236276.java
1314236371.java,user_0275,2,1314236371,java,java8,Wrong Answer,2.08,102,2829,110,False,True,gigel-si-sosetele/submissions/1314236371.java
1314236518.java,user_0275,3,1314236518,java,java8,Wrong Answer,8.33,111,3064,116,False,True,gigel-si-sosetele/submissions/1314236518.java
1314236637.java,user_0275,4,1314236637,java,java8,Wrong Answer,21.88,119,3253,122,False,True,gigel-si-sosetele/submissions/1314236637.java
1314236718.java,user_0275,5,1314236718,java,java8,Wrong Answer,19.79,124,3390,126,False,True,gigel-si-sosetele/submissions/1314236718.java
1314236787.java,user_0275,6,1314236787,java,java8,Accepted,50.0,128,3418,126,False,True,gigel-si-sosetele/submissions/1314236787.java
1332305438.cpp,user_0282,1,1332305438,cpp,cpp,Wrong Answer,48.96,1009387,1719,83,True,False,gigel-si-sosetele/submissions/1332305438.cpp
